25	
0	13
1	12
1	21
6	22
1	14
7	19
6	21
18	21
14	16
12	17
13	14
0	16
15	23
17	24
5	9
9	22
16	20
3	10
18	23
18	22
19	22
14	19
5	7
6	24
5	13
4	18
3	20
5	20
14	20
4	22
4	14
8	11
0	1
8	9
7	13
11	23
17	21
1	23
1	4
8	24
3	15
9	19
7	18
10	24
0	4
5	8
3	16
10	18
4	9
2	16
5	16
4	11
5	10
4	16
10	14
6	18
2	8
4	13
3	6
14	21
0	14
7	16
1	17
9	20
21	22
7	12
2	11
0	17
6	16
4	17
6	12
20	21
4	7
10	15
9	24
10	13
21	23
1	3
4	15
0	11
10	20
22	24
14	24
1	10
8	23
12	15
6	14
1	24
8	22
9	16
0	10
9	17
0	7
11	17
2	7
1	9
2	22
5	6
4	8
9	23
